gene,stage,stage_index,specimen_label,exon,intron,complete_pair
KR,1.1,1,1,7.0,5.0,True
KR,1.1,1,2,7.0,18.0,True
KR,1.1,1,3,9.0,17.0,True
KR,1.1,1,4,7.0,12.0,True
KR,1.1,1,5,12.0,18.0,True
KR,1.2,2,1,45.0,33.0,True
KR,1.2,2,2,12.0,2.0,True
KR,1.2,2,3,79.0,50.0,True
KR,1.2,2,4,72.0,38.0,True
KR,1.2,2,5,74.0,42.0,True
KR,1.3,3,1,131.0,55.0,True
KR,1.3,3,2,56.0,29.0,True
KR,1.3,3,3,25.0,12.0,True
KR,1.3,3,4,84.0,48.0,True
KR,1.3,3,5,79.0,39.0,True
KR,2.1,4,1,183.0,86.0,True
KR,2.1,4,2,93.0,72.0,True
KR,2.1,4,3,51.0,21.0,True
KR,2.1,4,4,69.0,56.0,True
KR,2.1,4,5,28.0,24.0,True
KR,2.2,5,1,83.0,124.0,True
KR,2.2,5,2,803.0,157.0,True
KR,2.2,5,3,971.0,234.0,True
KR,2.2,5,4,208.0,123.0,True
KR,2.2,5,5,262.0,154.0,True
KR,2.3,6,1,1042.0,332.0,True
KR,2.3,6,2,206.0,152.0,True
KR,2.3,6,3,541.0,191.0,True
KR,2.3,6,4,557.0,194.0,True
KR,2.3,6,5,879.0,225.0,True
KR,3.1,7,1,1134.0,421.0,True
KR,3.1,7,2,1318.0,358.0,True
KR,3.1,7,3,1402.0,372.0,True
KR,3.1,7,4,1026.0,350.0,True
KR,3.1,7,5,960.0,369.0,True
KR,3.2,8,1,1609.0,400.0,True
KR,3.2,8,2,1479.0,365.0,True
KR,3.2,8,3,1079.0,659.0,True
KR,3.2,8,4,1400.0,288.0,True
KR,3.2,8,5,,,False
KR,3.3,9,1,683.0,108.0,True
KR,3.3,9,2,617.0,18.0,True
KR,3.3,9,3,408.0,60.0,True
KR,3.3,9,4,414.0,94.0,True
KR,3.3,9,5,399.0,86.0,True
KR,4.1,10,1,425.0,53.0,True
KR,4.1,10,2,222.0,27.0,True
KR,4.1,10,3,159.0,23.0,True
KR,4.1,10,4,185.0,83.0,True
KR,4.1,10,5,,,False
KR,4.2,11,1,83.0,15.0,True
