gene,shape,mode,stage_index,intron,exon,intron_fit,exon_fit
Kr,cosine,collapsed,1,13.999999999999998,8.4,13.41097810845477,21.306912372008988
Kr,cosine,collapsed,2,33.0,56.4,13.410978108454783,21.306912372008924
Kr,cosine,collapsed,3,36.6,75.0,15.397108918440114,25.027201621524096
Kr,cosine,collapsed,4,51.8,84.8,52.69444897483032,114.12423476655451
Kr,cosine,collapsed,5,158.4,465.40000000000003,141.36921645649377,366.7469284548401
Kr,cosine,collapsed,6,218.8,645.0,257.32237582965814,740.737641866717
Kr,cosine,collapsed,7,374.0,1168.0,363.14517268453744,1124.9420669560468
Kr,cosine,collapsed,8,428.0,1391.75,418.25359299327164,1386.527544383375
Kr,cosine,collapsed,9,73.2,504.2,84.05178969727429,558.5662623198856
Kr,cosine,collapsed,10,46.5,247.75,24.589256001027852,181.27447713854068
Kr,cosine,collapsed,11,9.4,97.60000000000001,15.179840807412333,64.63424484212428
Kr,cosine,collapsed,12,13.6,20.4,13.690884841658786,32.4925719793902
Kr,cosine,collapsed,13,9.8,14.8,13.455270850531669,24.11750309219677
Kr,cosine,collapsed,14,5.0,12.800000000000002,13.417987039529923,22.001753570678577
Kr,cosine,collapsed,15,10.8,6.6,13.412087209236018,21.47697200547004
Kr,cosine,collapsed,16,11.6,16.2,13.411153613752248,21.348269082409015
Kr,cosine,collapsed,17,11.8,9.8,13.411005880601826,21.316928753520443
Kr,cosine,collapsed,18,7.599999999999999,7.6,13.410982503150048,21.309331854892232
Kr,cosine,collapsed,19,10.25,11.0,13.410978803917207,21.307495794182007
Kr,cosine,collapsed,20,9.75,8.0,13.410978218690325,21.307052896493865
Kr,cosine,collapsed,21,11.0,8.0,13.41097812636876,21.306946193992697
Kr,cosine,collapsed,22,11.0,15.8,13.410978112185513,21.306920508544046
Kr,cosine,collapsed,23,8.8,11.2,13.410978110378103,21.306914329436914
Kr,cosine,collapsed,24,8.8,10.6,13.41097811014425,21.306912845168295
Kr,cosine,mapped,1,13.999999999999998,8.4,13.401312389487506,21.360344617982992
Kr,cosine,mapped,2,33.0,56.4,13.401312389487533,21.36034461798301
Kr,cosine,mapped,3,36.6,75.0,15.400982245523554,25.06800232987874
Kr,cosine,mapped,4,51.8,84.8,52.74083269147502,114.11631260634509
Kr,cosine,mapped,5,158.4,465.40000000000003,141.42380644667134,366.68400147655154
Kr,cosine,mapped,6,218.8,645.0,257.352166879428,740.5907967783126
Kr,cosine,mapped,7,374.0,1168.0,363.1413824251864,1124.705588093132
Kr,cosine,mapped,8,428.0,1391.75,418.2053007535185,1386.8149315879282
Kr,cosine,mapped,9,73.2,504.2,84.10284524828437,558.6238884897505
Kr,cosine,mapped,10,46.5,247.75,24.60286466389989,180.90449938728858
Kr,cosine,mapped,11,9.4,97.60000000000001,15.176023181217923,64.43293101639931
Kr,cosine,mapped,12,13.6,20.4,13.682487562100293,32.43955681899545
Kr,cosine,mapped,13,9.8,14.8,13.445860198663867,24.133093314842537
Kr,cosine,mapped,14,5.0,12.800000000000002,13.408370293225909,22.04291864997328
Kr,cosine,mapped,15,10.8,6.6,13.402430603964383,21.52665734182488
Kr,cosine,mapped,16,11.6,16.2,13.401489553085169,21.400603180641124
Kr,cosine,mapped,17,11.8,9.8,13.401340458290111,21.370048716053002
Kr,cosine,mapped,18,7.599999999999999,7.6,13.401316836557594,21.362677302266952
Kr,cosine,mapped,19,10.25,11.0,13.401313094121837,21.360904340692763
Kr,cosine,mapped,20,9.75,8.0,13.401312501384337,21.36047876291264
Kr,cosine,mapped,21,11.0,8.0,13.401312407822575,21.360376742430855
Kr,cosine,mapped,22,11.0,15.8,13.401312393509013,21.36035230714809
Kr,cosine,mapped,23,8.8,11.2,13.401312391664245,21.360346458794904
Kr,cosine,mapped,24,8.8,10.6,13.401312391430684,21.360345061872575
