gene,shape,mode,stage_index,intron,exon,intron_fit,exon_fit
Kr,gaussian,collapsed,1,13.999999999999998,8.4,13.136415166747351,20.40492541458674
Kr,gaussian,collapsed,2,33.0,56.4,16.363303834145206,28.51723697607258
Kr,gaussian,collapsed,3,36.6,75.0,28.37432845953776,59.822731828116154
Kr,gaussian,collapsed,4,51.8,84.8,62.48229808941796,152.61962816390272
Kr,gaussian,collapsed,5,158.4,465.40000000000003,135.35451113138166,361.6638127738369
Kr,gaussian,collapsed,6,218.8,645.0,249.28638145239475,712.173350858401
Kr,gaussian,collapsed,7,374.0,1168.0,371.0986158736978,1129.2619409701142
Kr,gaussian,collapsed,8,428.0,1391.75,417.6126675689799,1394.622850402564
Kr,gaussian,collapsed,9,73.2,504.2,83.73954119115025,565.2333310449577
Kr,gaussian,collapsed,10,46.5,247.75,21.74424288376321,166.68260019466862
Kr,gaussian,collapsed,11,9.4,97.60000000000001,13.58532464576315,54.74566269711909
Kr,gaussian,collapsed,12,13.6,20.4,12.511571495582002,26.945053325838867
Kr,gaussian,collapsed,13,9.8,14.8,12.370260381302902,20.4150270486559
Kr,gaussian,collapsed,14,5.0,12.800000000000002,12.351663154356048,18.924804622774378
Kr,gaussian,collapsed,15,10.8,6.6,12.349215669232517,18.590087011712242
Kr,gaussian,collapsed,16,11.6,16.2,12.348893568341271,18.51558638753291
Kr,gaussian,collapsed,17,11.8,9.8,12.348851178317126,18.499091760241328
Kr,gaussian,collapsed,18,7.599999999999999,7.6,12.348845599622978,18.495451179620247
Kr,gaussian,collapsed,19,10.25,11.0,12.348844865533348,18.494649140806974
Kr,gaussian,collapsed,20,9.75,8.0,12.34884476909708,18.49447264209791
Kr,gaussian,collapsed,21,11.0,8.0,12.34884475665626,18.49443382707842
Kr,gaussian,collapsed,22,11.0,15.8,12.348844755242894,18.49442529498641
Kr,gaussian,collapsed,23,8.8,11.2,12.3488447549837,18.49442342143816
Kr,gaussian,collapsed,24,8.8,10.6,12.3488447547526,18.494423012875192
Kr,gaussian,mapped,1,13.999999999999998,8.4,13.126207444898977,20.461067038822527
Kr,gaussian,mapped,2,33.0,56.4,16.358557238716774,28.57257353536228
Kr,gaussian,mapped,3,36.6,75.0,28.383094113351277,59.86948676898445
Kr,gaussian,mapped,4,51.8,84.8,62.51319538986034,152.63150969884808
Kr,gaussian,mapped,5,158.4,465.40000000000003,135.40474664350435,361.59078704790613
Kr,gaussian,mapped,6,218.8,645.0,249.33403419517356,711.972261541618
Kr,gaussian,mapped,7,374.0,1168.0,371.1210107157629,1128.958707663344
Kr,gaussian,mapped,8,428.0,1391.75,417.52832339274084,1394.9960777272904
Kr,gaussian,mapped,9,73.2,504.2,83.81695474622444,565.2268840984342
Kr,gaussian,mapped,10,46.5,247.75,21.767091317254817,166.30636867202494
Kr,gaussian,mapped,11,9.4,97.60000000000001,13.580833256424746,54.56719150558149
Kr,gaussian,mapped,12,13.6,20.4,12.500822458838641,26.911790772763467
Kr,gaussian,mapped,13,9.8,14.8,12.358336928302625,20.441970123915972
Kr,gaussian,mapped,14,5.0,12.800000000000002,12.339538851044836,18.972049889907208
Kr,gaussian,mapped,15,10.8,6.6,12.337058825830447,18.64346789972803
Kr,gaussian,mapped,16,11.6,16.2,12.336731636783309,18.570699920321193
Kr,gaussian,mapped,17,11.8,9.8,12.336688470838498,18.554672658123593
Kr,gaussian,mapped,18,7.599999999999999,7.6,12.33668277601778,18.55115407897496
Kr,gaussian,mapped,19,10.25,11.0,12.33668202482024,18.550383118682085
Kr,gaussian,mapped,20,9.75,8.0,12.336681925933926,18.550214389414794
Kr,gaussian,mapped,21,11.0,8.0,12.336681913198001,18.550177488156166
Kr,gaussian,mapped,22,11.0,15.8,12.336681911759587,18.55016942196107
Kr,gaussian,mapped,23,8.8,11.2,12.336681911535468,18.55016766080986
Kr,gaussian,mapped,24,8.8,10.6,12.336681911183694,18.550167279025498
