gene,shape,mode,stage_index,intron,exon,intron_fit,exon_fit
mlpt,cosine,collapsed,1,17.4,14.4,33.214683087434054,54.36413610683525
mlpt,cosine,collapsed,2,22.0,18.6,33.21468308743406,54.36413610683525
mlpt,cosine,collapsed,3,25.8,33.6,33.21468308743406,54.364136106835254
mlpt,cosine,collapsed,4,32.4,38.4,33.58771550311642,54.623560213679696
mlpt,cosine,collapsed,5,85.4,158.0,80.72521287878696,120.46553235683953
mlpt,cosine,collapsed,6,181.0,393.8,193.1814514659322,341.96905562845865
mlpt,cosine,collapsed,7,277.4,585.4,313.20966426315755,636.0668194103735
mlpt,cosine,collapsed,8,406.0,889.0,378.4230500498439,854.9968207792316
mlpt,cosine,collapsed,9,385.8,898.6000000000001,347.8321904415499,876.872820223971
mlpt,cosine,collapsed,10,166.6,586.6,226.96989233772678,662.6937300719278
mlpt,cosine,collapsed,11,117.0,371.0,93.5835360090093,340.3593065817318
mlpt,cosine,collapsed,12,53.8,240.6,34.382218464191745,117.90903291493444
mlpt,cosine,collapsed,13,27.0,36.8,33.216195122104764,64.46910415390984
mlpt,cosine,collapsed,14,47.6,71.2,33.21468504573163,55.96498527330752
mlpt,cosine,collapsed,15,56.0,89.4,33.21468309003713,54.61773801239295
mlpt,cosine,collapsed,16,80.6,138.2,36.995705777519156,57.56849494570707
mlpt,cosine,collapsed,17,173.6,282.2,131.99729062221795,200.06483947990802
mlpt,cosine,collapsed,18,265.6,427.19999999999993,315.30739561797776,577.4201245339515
mlpt,cosine,collapsed,19,512.0,1075.4,487.3698264961582,1021.0750632214823
mlpt,cosine,collapsed,20,403.8,1203.2,406.17684566552725,1188.0460985670459
mlpt,cosine,collapsed,21,29.2,226.2,33.72368258209391,248.38543714773945
mlpt,cosine,collapsed,22,20.5,25.25,33.21534227505799,85.11715138106929
mlpt,cosine,collapsed,23,12.5,17.5,33.214683941240914,59.23596047820533
mlpt,cosine,collapsed,24,13.4,15.6,33.21468308871687,55.13591630362802
mlpt,cosine,mapped,1,17.4,14.4,33.2157735432297,54.36398528393406
mlpt,cosine,mapped,2,22.0,18.6,33.21577354322966,54.363985283934014
mlpt,cosine,mapped,3,25.8,33.6,33.215773543229666,54.363985283933964
mlpt,cosine,mapped,4,32.4,38.4,33.588574046691726,54.62372255375452
mlpt,cosine,mapped,5,85.4,158.0,80.72647571549552,120.46210964653072
mlpt,cosine,mapped,6,181.0,393.8,193.18261339426635,341.96701498320704
mlpt,cosine,mapped,7,277.4,585.4,313.2078086944937,636.0716365506833
mlpt,cosine,mapped,8,406.0,889.0,378.4153444227688,855.0059567103835
mlpt,cosine,mapped,9,385.8,898.6000000000001,347.82101564712036,876.8825115070571
mlpt,cosine,mapped,10,166.6,586.6,226.96594642860975,662.7137609343533
mlpt,cosine,mapped,11,117.0,371.0,93.58733102567655,340.3860206008652
mlpt,cosine,mapped,12,53.8,240.6,34.38256373594803,117.91775021087965
mlpt,cosine,mapped,13,27.0,36.8,33.21727784945132,64.46748493149035
mlpt,cosine,mapped,14,47.6,71.2,33.215775482844826,55.96411708388376
mlpt,cosine,mapped,15,56.0,89.4,33.215773545825904,54.61739677407873
mlpt,cosine,mapped,16,80.6,138.2,36.99319806654793,57.566057974217664
mlpt,cosine,mapped,17,173.6,282.2,131.99116809623627,200.0426255349572
mlpt,cosine,mapped,18,265.6,427.19999999999993,315.3095704871848,577.4131427894625
mlpt,cosine,mapped,19,512.0,1075.4,487.37986351587597,1021.1088448901382
mlpt,cosine,mapped,20,403.8,1203.2,406.18185013589004,1187.992621949158
mlpt,cosine,mapped,21,29.2,226.2,33.722554229304315,248.38052755712062
mlpt,cosine,mapped,22,20.5,25.25,33.21642691975287,85.10695219323952
mlpt,cosine,mapped,23,12.5,17.5,33.21577438576595,59.23274274031531
mlpt,cosine,mapped,24,13.4,15.6,33.215773544560136,55.13504603242238
