gene,shape,mode,stage_index,intron,exon,intron_fit,exon_fit
mlpt,gaussian,collapsed,1,17.4,14.4,27.787586551872767,44.244583780452494
mlpt,gaussian,collapsed,2,22.0,18.6,28.13510729655741,44.72406079078826
mlpt,gaussian,collapsed,3,25.8,33.6,30.66020719453435,48.442698543361296
mlpt,gaussian,collapsed,4,32.4,38.4,43.25511367020361,68.42791908853343
mlpt,gaussian,collapsed,5,85.4,158.0,85.7706472711924,142.0915411162271
mlpt,gaussian,collapsed,6,181.0,393.8,180.18194642241946,324.5842816055483
mlpt,gaussian,collapsed,7,277.4,585.4,308.90405849515486,614.7908177274209
mlpt,gaussian,collapsed,8,406.0,889.0,391.8330955247459,871.6786645551546
mlpt,gaussian,collapsed,9,385.8,898.6000000000001,351.92447855605633,894.6671291842678
mlpt,gaussian,collapsed,10,166.6,586.6,217.14104522464217,644.4504675242978
mlpt,gaussian,collapsed,11,117.0,371.0,100.20659330049341,335.7215246789544
mlpt,gaussian,collapsed,12,53.8,240.6,45.90752415953097,143.5770372547851
mlpt,gaussian,collapsed,13,27.0,36.8,30.774494731241095,68.81384337100872
mlpt,gaussian,collapsed,14,47.6,71.2,28.63684626857529,49.57507043418963
mlpt,gaussian,collapsed,15,56.0,89.4,32.665971674716126,51.89666824145601
mlpt,gaussian,collapsed,16,80.6,138.2,55.95390554238986,87.79164676572418
mlpt,gaussian,collapsed,17,173.6,282.2,135.93262445539085,226.19651745466322
mlpt,gaussian,collapsed,18,265.6,427.19999999999993,303.87886712068143,557.3000904626178
mlpt,gaussian,collapsed,19,512.0,1075.4,496.7430468000929,1022.3602961008353
mlpt,gaussian,collapsed,20,403.8,1203.2,405.02894560566017,1204.3889025547671
mlpt,gaussian,collapsed,21,29.2,226.2,27.821311970178353,231.22666695952046
mlpt,gaussian,collapsed,22,20.5,25.25,27.75219429143846,67.52902411558169
mlpt,gaussian,collapsed,23,12.5,17.5,27.752193936125842,47.1088685099065
mlpt,gaussian,collapsed,24,13.4,15.6,27.752193936106483,44.56167917993931
mlpt,gaussian,mapped,1,17.4,14.4,27.855617872103945,44.83858617405348
mlpt,gaussian,mapped,2,22.0,18.6,28.204195318583967,45.31498727113333
mlpt,gaussian,mapped,3,25.8,33.6,30.737630964641976,49.0063878380274
mlpt,gaussian,mapped,4,32.4,38.4,43.372040510674196,68.84811815252341
mlpt,gaussian,mapped,5,85.4,158.0,85.99207012817197,142.06784613127002
mlpt,gaussian,mapped,6,181.0,393.8,180.5060239590323,323.85039594674487
mlpt,gaussian,mapped,7,277.4,585.4,309.0356176244159,613.8552055144214
mlpt,gaussian,mapped,8,406.0,889.0,391.2612029570242,871.8796574817468
mlpt,gaussian,mapped,9,385.8,898.6000000000001,350.6837966627642,896.838829566276
mlpt,gaussian,mapped,10,166.6,586.6,216.1062755870476,647.6358003473296
mlpt,gaussian,mapped,11,117.0,371.0,99.77569025693134,337.68186277962764
mlpt,gaussian,mapped,12,53.8,240.6,45.84228627433121,144.155445492473
mlpt,gaussian,mapped,13,27.0,36.8,30.81976215532271,69.03775782889217
mlpt,gaussian,mapped,14,47.6,71.2,28.694617469454855,49.938701761687376
mlpt,gaussian,mapped,15,56.0,89.4,32.697738949339296,52.28994807751472
mlpt,gaussian,mapped,16,80.6,138.2,55.95559911976768,87.76240339436144
mlpt,gaussian,mapped,17,173.6,282.2,136.0925260998549,225.1176974771757
mlpt,gaussian,mapped,18,265.6,427.19999999999993,304.5421741484232,555.5070375597985
mlpt,gaussian,mapped,19,512.0,1075.4,497.5149624778633,1022.2573823904947
mlpt,gaussian,mapped,20,403.8,1203.2,405.4238632252712,1202.7536653339062
mlpt,gaussian,mapped,21,29.2,226.2,27.82588148517296,228.31318017538663
mlpt,gaussian,mapped,22,20.5,25.25,27.820142251269022,65.1140986897755
mlpt,gaussian,mapped,23,12.5,17.5,27.82014225126901,47.04299273866064
mlpt,gaussian,mapped,24,13.4,15.6,27.82014225126901,45.042011876719855
