gene,shape,mode,stage_index,intron,exon,intron_fit,exon_fit
svb,cosine,collapsed,1,35.8,40.8,65.81975485427034,119.97663158422249
svb,cosine,collapsed,2,112.2,201.4,95.18600359902142,165.29707654698305
svb,cosine,collapsed,3,154.6,249.99999999999997,154.2878932802547,265.58245347105236
svb,cosine,collapsed,4,229.59999999999997,404.6,239.00994030313856,420.3630154549554
svb,cosine,collapsed,5,349.0,648.2,338.46072703954644,613.9403908494861
svb,cosine,collapsed,6,434.6000000000001,809.2,438.14137567654365,820.5282005529066
svb,cosine,collapsed,7,515.0,1006.7499999999999,522.9102180790801,1010.0681367529185
svb,cosine,collapsed,8,558.6,1138.6,540.669180709865,1106.540901682162
svb,cosine,collapsed,9,234.2,756.0,285.91241656521885,739.5685833053403
svb,cosine,collapsed,10,169.6,365.0,166.13860380812326,472.75489559913444
svb,cosine,collapsed,11,185.2,360.6,121.80733648032168,325.19535190469986
svb,cosine,collapsed,12,169.5,307.75,144.30779027837556,308.65780665072447
svb,cosine,collapsed,13,211.6,383.3999999999999,223.7258386757359,416.15838859858985
svb,cosine,collapsed,14,331.4,628.2,342.24352205131794,620.4270213348423
svb,cosine,collapsed,15,456.8,862.7999999999998,475.96796298886505,878.4572597503426
svb,cosine,collapsed,16,590.6,1168.8,598.7570139379231,1138.737214773853
svb,cosine,collapsed,17,697.4,1388.4,686.8643131290489,1350.3478101257963
svb,cosine,collapsed,18,749.5,1419.0,715.8917715600154,1462.0707296605017
svb,cosine,collapsed,19,627.2,1382.6,659.8871560767163,1418.064973033944
svb,cosine,collapsed,20,576.8,1297.4,527.8059762720344,1213.9161158386698
svb,cosine,collapsed,21,298.2,752.4,360.9682187796814,908.2336863970667
svb,cosine,collapsed,22,253.2,680.8,215.55461690955931,600.6406285036468
svb,cosine,collapsed,23,110.75000000000001,452.25,133.02486090863508,383.61417135976006
svb,cosine,collapsed,24,96.2,311.0,94.20750803670684,256.8085562684016
svb,cosine,mapped,1,35.8,40.8,65.73558772906335,120.04515547674842
svb,cosine,mapped,2,112.2,201.4,95.13883944463082,165.3711213498927
svb,cosine,mapped,3,154.6,249.99999999999997,154.26638455820816,265.6527926084677
svb,cosine,mapped,4,229.59999999999997,404.6,238.99798419380537,420.41004230814065
svb,cosine,mapped,5,349.0,648.2,338.44570678033585,613.9433048534089
svb,cosine,mapped,6,434.6000000000001,809.2,438.11795030045397,820.4748992062024
svb,cosine,mapped,7,515.0,1006.7499999999999,522.881127328323,1009.9615539820581
svb,cosine,mapped,8,558.6,1138.6,540.4454033867382,1107.0598100967718
svb,cosine,mapped,9,234.2,756.0,285.9246074627097,739.7361979428506
svb,cosine,mapped,10,169.6,365.0,166.17269424492184,472.73422888343026
svb,cosine,mapped,11,185.2,360.6,121.8400937164464,325.1262536627133
svb,cosine,mapped,12,169.5,307.75,144.34634636703043,308.5993611012723
svb,cosine,mapped,13,211.6,383.3999999999999,223.76949266007185,416.12117205141544
svb,cosine,mapped,14,331.4,628.2,342.28760275926817,620.3978120438645
svb,cosine,mapped,15,456.8,862.7999999999998,476.0080106246191,878.4174832615423
svb,cosine,mapped,16,590.6,1168.8,598.7916021984971,1138.674424773093
svb,cosine,mapped,17,697.4,1388.4,686.8957757876267,1350.2610031180307
svb,cosine,mapped,18,749.5,1419.0,715.9119082423293,1461.9930960713193
svb,cosine,mapped,19,627.2,1382.6,659.9018809772552,1418.0233178287103
svb,cosine,mapped,20,576.8,1297.4,527.8301501821321,1213.903101159302
svb,cosine,mapped,21,298.2,752.4,361.00769476334375,908.2172874933892
svb,cosine,mapped,22,253.2,680.8,215.6003854151388,600.5769378783787
svb,cosine,mapped,23,110.75000000000001,452.25,133.04624053142086,383.51371577071166
svb,cosine,mapped,24,96.2,311.0,94.18653034563077,256.7359270782891
