gene,shape,mode,stage_index,intron,exon,intron_fit,exon_fit
svb,gaussian,collapsed,1,35.8,40.8,66.85145372671477,114.60421013229025
svb,gaussian,collapsed,2,112.2,201.4,100.08716150205156,172.16806928266007
svb,gaussian,collapsed,3,154.6,249.99999999999997,154.43955777453152,268.9145656466249
svb,gaussian,collapsed,4,229.59999999999997,404.6,232.84475291527323,413.07967431682374
svb,gaussian,collapsed,5,349.0,648.2,331.5463765452493,601.9948370936523
svb,gaussian,collapsed,6,434.6000000000001,809.2,437.8793503973036,816.5899501238874
svb,gaussian,collapsed,7,515.0,1006.7499999999999,531.9699697170182,1022.0444932258173
svb,gaussian,collapsed,8,558.6,1138.6,545.9449331315434,1120.005495078948
svb,gaussian,collapsed,9,234.2,756.0,270.06734734758766,725.6873067483501
svb,gaussian,collapsed,10,169.6,365.0,153.29437771069354,449.12975440490993
svb,gaussian,collapsed,11,185.2,360.6,126.10236999251732,323.98224317618445
svb,gaussian,collapsed,12,169.5,307.75,154.2541950899318,322.2679753922721
svb,gaussian,collapsed,13,211.6,383.3999999999999,226.93051744477958,424.35024866531296
svb,gaussian,collapsed,14,331.4,628.2,337.0766250383407,614.7775917741479
svb,gaussian,collapsed,15,456.8,862.7999999999998,469.9862820262683,867.4026468149088
svb,gaussian,collapsed,16,590.6,1168.8,599.6923101841613,1136.1552954786378
svb,gaussian,collapsed,17,697.4,1388.4,694.2628863843142,1359.8955573179096
svb,gaussian,collapsed,18,749.5,1419.0,720.4727048582608,1471.4924168954562
svb,gaussian,collapsed,19,627.2,1382.6,654.17842622212,1412.6299230296797
svb,gaussian,collapsed,20,576.8,1297.4,518.4564117433428,1198.4605513650206
svb,gaussian,collapsed,21,298.2,752.4,363.38101025304286,906.7163433887705
svb,gaussian,collapsed,22,253.2,680.8,231.4032621267932,623.2079171807068
svb,gaussian,collapsed,23,110.75000000000001,452.25,140.12690133216563,400.31579932641586
svb,gaussian,collapsed,24,96.2,311.0,86.30081653599478,250.07713414061413
svb,gaussian,mapped,1,35.8,40.8,66.22826051935061,115.3536379961321
svb,gaussian,mapped,2,112.2,201.4,99.65798487354853,172.90073216174645
svb,gaussian,mapped,3,154.6,249.99999999999997,154.21149334574332,269.5387830647997
svb,gaussian,mapped,4,229.59999999999997,404.6,232.7671491625355,413.46110578129685
svb,gaussian,mapped,5,349.0,648.2,331.5194918583786,602.0023338887413
svb,gaussian,mapped,6,434.6000000000001,809.2,437.8027842849743,816.1698676203272
svb,gaussian,mapped,7,515.0,1006.7499999999999,531.8105789449763,1021.2816129288806
svb,gaussian,mapped,8,558.6,1138.6,544.3188194284721,1123.533893370343
svb,gaussian,mapped,9,234.2,756.0,270.0779476765407,727.387712422291
svb,gaussian,mapped,10,169.6,365.0,153.6571284452957,448.5868719144916
svb,gaussian,mapped,11,185.2,360.6,126.34613082103579,323.0688504252021
svb,gaussian,mapped,12,169.5,307.75,154.4518187398537,321.61685359996636
svb,gaussian,mapped,13,211.6,383.3999999999999,227.20811398977912,423.9674555018326
svb,gaussian,mapped,14,331.4,628.2,337.4657910290564,614.4795667483057
svb,gaussian,mapped,15,456.8,862.7999999999998,470.4134756024443,867.0252588636055
svb,gaussian,mapped,16,590.6,1168.8,600.0425075754049,1135.6312954613581
svb,gaussian,mapped,17,697.4,1388.4,694.4658802652834,1359.2522295935319
svb,gaussian,mapped,18,749.5,1419.0,720.4608284019214,1471.0192291450965
svb,gaussian,mapped,19,627.2,1382.6,654.1475820718434,1412.4839443012338
svb,gaussian,mapped,20,576.8,1297.4,518.6310608878803,1198.4369313314
svb,gaussian,mapped,21,298.2,752.4,363.7453654955087,906.5393864788807
svb,gaussian,mapped,22,253.2,680.8,231.75105042273216,622.7894298923627
svb,gaussian,mapped,23,110.75000000000001,452.25,140.2522019535864,399.78520618704823
svb,gaussian,mapped,24,96.2,311.0,86.11655420385407,249.63781132112422
