gene,shape,mode,SSE,intron_RMS_percent_range,exon_RMS_percent_range,max_parameters,T,processing,decay,gain,bounds
Kr,cosine,collapsed,0.038358061475694476,2.9197130855955096,2.7800979435209534,9,0.0,0.5424065292110428,0.7014136853455046,1.0993582613737074,fall1
Kr,cosine,mapped,0.03840438175014298,2.9202649077770344,2.783029142629491,10,0.005000017815429951,0.5427659132889592,0.6988940301049033,1.0988914597428765,T; fall1
Kr,gaussian,collapsed,0.03419842873576308,2.6010153079693583,2.7774449130140253,9,0.0,0.49310844867389186,0.659856988197504,1.0851247859183233,fall1
Kr,gaussian,mapped,0.03426318343126368,2.6021947331167126,2.781256477002586,10,0.005000000001050166,0.49370870371437736,0.657416003265487,1.0845410376811897,T; fall1
mlpt,cosine,collapsed,0.12218489632060536,5.350228619247903,4.923705621544425,13,0.0,0.15039416425764315,0.5427337676844477,1.0701544153836053,fall2
mlpt,cosine,mapped,0.12218711135076739,5.350397018205669,4.923623219653901,14,0.005000000000351934,0.15029276707154549,0.5426445577292122,1.070196668646676,T; fall2
mlpt,gaussian,collapsed,0.07851347834642405,4.220166204100169,4.018375668493717,13,0.0,0.08198113865586315,0.480415407908782,1.0556877546705254,fall2
mlpt,gaussian,mapped,0.07849708789779905,4.229443564728529,4.007981987399114,14,0.30463786437201223,0.005000000003913427,0.45440565963291546,1.058157733560332,splice; fall2
svb,cosine,collapsed,0.0739000789127662,4.084169870343941,4.07529214947331,13,0.0,1.3245542881135755,1.1252591982385418,1.1357287304836425,fall1
svb,cosine,mapped,0.07390191108471646,4.08440027216214,4.0751694794458215,14,0.005000000000000006,1.3259665343103073,1.1220772845643199,1.1350762977883826,T; fall1
svb,gaussian,collapsed,0.06733490432861056,3.874856225468252,3.912736386027979,13,0.0,1.17111994154896,1.0663686573980626,1.129934747846077,fall1
svb,gaussian,mapped,0.0673178592483955,3.8766788790611058,3.910037921137069,14,0.0469773670107329,1.181440736851063,1.038724029289633,1.124775922361076,fall1
