gene,shape,mode,dt,SSE_fixed_coefficients,SSE_reprofiled_coefficients,maximum_prediction_change
Kr,cosine,collapsed,0.025,0.038358061475694476,0.038358061475694476,0.0
Kr,cosine,collapsed,0.0125,0.038339597393685663,0.03833953344029148,0.0003557421559227114
Kr,cosine,collapsed,0.00625,0.038334998210077686,0.03833489564470109,0.00044941283009014565
Kr,cosine,mapped,0.025,0.03840438175014298,0.03840438175014298,0.0
Kr,cosine,mapped,0.0125,0.03838566564724592,0.038385597660212496,0.0003662030979959541
Kr,cosine,mapped,0.00625,0.03838103763124455,0.03838093020036062,0.0004599905731084153
Kr,gaussian,collapsed,0.025,0.03419842873576308,0.03419842873576308,0.0
Kr,gaussian,collapsed,0.0125,0.03418997792672508,0.034189965304769,0.00015210967327083935
Kr,gaussian,collapsed,0.00625,0.034187869225366166,0.03418784943921894,0.00019039357044892125
Kr,gaussian,mapped,0.025,0.03426318343126368,0.03426318343126368,0.0
Kr,gaussian,mapped,0.0125,0.034254724798853005,0.03425471221619576,0.00015179019695288343
Kr,gaussian,mapped,0.00625,0.03425260366082584,0.03425258384348777,0.00019038910542823473
mlpt,cosine,collapsed,0.025,0.12218489632060536,0.12218489632060536,0.0
mlpt,cosine,collapsed,0.0125,0.12218525289393506,0.12218516293492972,0.00039008693929765137
mlpt,cosine,collapsed,0.00625,0.12218541418405561,0.12218527360256243,0.0004870070516105329
mlpt,cosine,mapped,0.025,0.12218711135076739,0.12218711135076739,0.0
mlpt,cosine,mapped,0.0125,0.12218729086663274,0.12218721197053127,0.00035543109065350187
mlpt,cosine,mapped,0.00625,0.12218742909329308,0.12218730363542518,0.00044830775455728666
mlpt,gaussian,collapsed,0.025,0.07851347834642405,0.07851347834642405,0.0
mlpt,gaussian,collapsed,0.0125,0.0785138548748284,0.07851383646057858,0.0001492364489175113
mlpt,gaussian,collapsed,0.00625,0.07851396436252339,0.0785139355020325,0.0001871139570115421
mlpt,gaussian,mapped,0.025,0.07849708789779905,0.07849708789779905,0.0
mlpt,gaussian,mapped,0.0125,0.07849757036855212,0.07849755196037962,0.00015526261443310485
mlpt,gaussian,mapped,0.00625,0.07849769363406603,0.07849766519290499,0.00019171608023238473
svb,cosine,collapsed,0.025,0.0739000789127662,0.0739000789127662,0.0
svb,cosine,collapsed,0.0125,0.0738968204549376,0.07389681905521543,4.483713861846983e-05
svb,cosine,collapsed,0.00625,0.07389592281173031,0.07389592072121004,5.4967279006779e-05
svb,cosine,mapped,0.025,0.07390191108471646,0.07390191108471646,0.0
svb,cosine,mapped,0.0125,0.07389879686594301,0.0738987956276187,4.09292871488276e-05
svb,cosine,mapped,0.00625,0.07389796789684566,0.07389796598715868,5.0790224146002316e-05
svb,gaussian,collapsed,0.025,0.06733490432861056,0.06733490432861056,0.0
svb,gaussian,collapsed,0.0125,0.0673321466154212,0.06733214550471442,4.1923038204272345e-05
svb,gaussian,collapsed,0.00625,0.06733146108230853,0.06733145935355961,5.228985949268239e-05
svb,gaussian,mapped,0.025,0.0673178592483955,0.0673178592483955,0.0
svb,gaussian,mapped,0.0125,0.06731510260503425,0.06731510149542907,4.043301043499259e-05
svb,gaussian,mapped,0.00625,0.06731442184641695,0.06731442013081736,5.0236520360402714e-05
