gene,dt,cost_reprofiled_amplitudes,max_prediction_change_from_original
Kr,0.05,0.03848222131014582,0.0
Kr,0.025,0.03840590158295817,0.0010375338887643748
Kr,0.0125,0.03838782332854227,0.0012723533225581507
Kr,0.00625,0.03838332013852311,0.001333528668739259
mlpt,0.05,0.12218516445241907,0.0
mlpt,0.025,0.12218962296550796,0.0011613160045745863
mlpt,0.0125,0.12219088665215652,0.001414010492613138
mlpt,0.00625,0.12219126945930993,0.0014791741973195771
svb,0.05,0.07391684783169944,0.0
svb,0.025,0.07390259752469978,8.949442577788069e-05
svb,0.0125,0.07389953434922784,0.00011486547110672873
svb,0.00625,0.07389873995830776,0.00012113721259043864
