gene,shape,mode,seconds,cost,max_change
Kr,cosine,collapsed,0.029233217239379883,0.038358061475694476,0.0002979121385376926
Kr,cosine,mapped,0.0544583797454834,0.03840438175014298,0.0003629789307088016
Kr,gaussian,collapsed,0.09726095199584961,0.03419842873576308,0.00011361039895528557
Kr,gaussian,mapped,0.0888521671295166,0.03426318343126368,0.00010924366332541735
mlpt,cosine,collapsed,0.02884221076965332,0.12218489632060536,0.00011772739896132034
mlpt,cosine,mapped,0.048133134841918945,0.12218711135076739,0.00012104707596771735
mlpt,gaussian,collapsed,0.16999483108520508,0.07851347834642405,3.817393362775395e-05
mlpt,gaussian,mapped,0.09580326080322266,0.07849708789779905,6.514774869481599e-05
svb,cosine,collapsed,0.04637765884399414,0.0739000789127662,0.0005164241285706694
svb,cosine,mapped,0.07918405532836914,0.07390191108471646,0.0005493395023093983
svb,gaussian,collapsed,0.07192182540893555,0.06733490432861056,4.0090950487625676e-05
svb,gaussian,mapped,0.08957028388977051,0.0673178592483955,6.245046661534914e-05
