gene,mode,T,processing_mean,decay_mean,peak_fraction,dt,mass_relative_error_I,mass_relative_error_E,tail_fraction_I,tail_fraction_E,I_peak,I_flat_peak_width,I_rise_40,I_fall_40,I_upcrossings_40,I_downcrossings_40,I_rise_50,I_fall_50,I_upcrossings_50,I_downcrossings_50,I_rise_60,I_fall_60,I_upcrossings_60,I_downcrossings_60,E_peak,E_flat_peak_width,E_rise_40,E_fall_40,E_upcrossings_40,E_downcrossings_40,E_rise_50,E_fall_50,E_upcrossings_50,E_downcrossings_50,E_rise_60,E_fall_60,E_upcrossings_60,E_downcrossings_60,peak_offset,rise_40_offset,rise_40_class,rise_50_offset,rise_50_class,rise_60_offset,rise_60_class,fall_40_offset,fall_40_class,fall_50_offset,fall_50_class,fall_60_offset,fall_60_class,valid
geometry_independent,collapsed,0.0,0.01,0.01,0.25,0.001,6.14421235382856e-06,4.300948647766728e-05,7.100142710596267e-13,4.6017234597659216e-12,0.2703256183252847,0.0,0.11868590084057465,0.6834678208730234,1,1,0.13481076745713738,0.6354335566762931,1,1,0.15092939058925353,0.5874170678405528,1,1,0.27836999821866276,0.0,0.12346383394457795,0.6887021103163924,1,1,0.13966820046930428,0.640684343606199,1,1,0.1558625006189955,0.5926951948864818,1,1,0.008044379893378084,0.004777933104003304,small,0.004857433012166901,small,0.004933110029741977,small,0.005234289443369011,small,0.005250786929905882,small,0.005278127045929004,small,True
geometry_independent,collapsed,0.0,0.01,0.01,0.5,0.001,6.144212354869394e-06,4.300948648339187e-05,1.5961936903946454e-12,1.0341809859795387e-11,0.5099945341698355,0.0,0.22775541239602376,0.792233652232869,1,1,0.2598378720219469,0.7601511962436592,1,1,0.29191378967974235,0.728075284435015,1,1,0.5149749946811818,0.0,0.23259228168036142,0.7973577000495192,1,1,0.2647011596893071,0.7652488294498103,1,1,0.2967986525680545,0.733151357189615,1,1,0.004980460511346263,0.004836869284337658,small,0.004863287667360161,small,0.004884862888312136,small,0.005124047816650212,small,0.0050976332061510865,small,0.005076072754599981,small,True
geometry_independent,collapsed,0.0,0.01,0.01,0.75,0.001,6.14421235972662e-06,4.300948651444342e-05,6.381857088319897e-12,4.134554839441295e-11,0.7540900101834314,0.0,0.33675926580650667,0.9011503439931835,1,1,0.38484366434435396,0.8850087729415137,1,1,0.43292149183637313,0.8688694423657635,1,1,0.7565728576586328,0.0,0.341601260762569,0.9062318632898588,1,1,0.38969226397250123,0.8900029343475416,1,1,0.43777101881702807,0.8737782432849737,1,1,0.002482847475201444,0.0048419949560623565,small,0.004848599628147265,small,0.004849526980654939,small,0.00508151929667533,small,0.0049941614060279305,small,0.004908800919210199,small,True
geometry_independent,collapsed,0.0,0.01,0.03,0.25,0.001,1.734723475976807e-16,6.912238897753553e-06,1.2358173638567652e-16,2.610452553225973e-13,0.2703276947831253,0.0,0.11868613979947153,0.6834690505038071,1,1,0.13481105678315392,0.635434858188158,1,1,0.15092972741587649,0.587418465591007,1,1,0.3120613139252049,0.0,0.13798677576258067,0.708896494885532,1,1,0.15489210946065096,0.6611106712614444,1,1,0.17176228756231496,0.613477912487037,1,1,0.041733619142079625,0.019300635963109145,intron_lead,0.020081052677497047,intron_lead,0.020832560146438472,intron_lead,0.02542744438172484,intron_lead,0.02567581307328637,intron_lead,0.026059446896030014,intron_lead,True
geometry_independent,collapsed,0.0,0.01,0.03,0.5,0.001,1.734723475976807e-16,6.912238897753553e-06,1.8521928347052271e-16,5.833509684540996e-13,0.5099952035767822,0.0,0.22775591931764125,0.7922344845816921,1,1,0.25983840866250935,0.7601519984260596,1,1,0.2919143504100482,0.7280760618099816,1,1,0.532145716706262,0.0,0.24829697602862233,0.8159955132840564,1,1,0.2806757988060977,0.7836159086030713,1,1,0.3129933836421191,0.7512979665309458,1,1,0.0221505131294798,0.02054105671098108,intron_lead,0.020837390143588375,intron_lead,0.021079033232070887,intron_lead,0.023761028702364295,intron_lead,0.02346391017701166,intron_lead,0.023221904720964193,intron_lead,True
geometry_independent,collapsed,0.0,0.01,0.03,0.75,0.001,1.734723475976807e-16,6.912238899835221e-06,1.234398507895551e-16,2.327098029976833e-12,0.7540902134851496,0.0,0.3367598541832615,0.9011509546750652,1,1,0.38484427140095495,0.8850092961443126,1,1,0.4329221133654966,0.8688698855284381,1,1,0.7638217571903038,0.0,0.35762258241963146,0.9238366315695534,1,1,0.4058165972472425,0.9067571192183108,1,1,0.4539474349195709,0.8897244526528179,1,1,0.009731543705154166,0.020862728236369976,intron_lead,0.020972325846287554,intron_lead,0.021025321554074328,intron_lead,0.022685676894488194,intron_lead,0.02174782307399825,intron_lead,0.02085456712437972,intron_lead,True
geometry_independent,collapsed,0.0,0.01,0.1,0.25,0.001,0.0,6.144521635311559e-06,0.0,7.594755076723974e-14,0.27032769478313934,0.0,0.11868613979947153,0.6834690505038072,1,1,0.13481105678315392,0.6354348581881581,1,1,0.15092972741587646,0.5874184655910071,1,1,0.4106683824133457,0.0,0.17429435227961593,0.7953688130138131,1,1,0.19487412576916355,0.7476720742758961,1,1,0.21574549819043204,0.7008513426617298,1,1,0.14034068763020635,0.0556082124801444,intron_lead,0.06006306898600963,intron_lead,0.06481577077455558,intron_lead,0.11189976251000588,intron_lead,0.11223721608773796,intron_lead,0.11343287707072269,intron_lead,True
geometry_independent,collapsed,0.0,0.01,0.1,0.5,0.001,1.734723475976807e-16,6.14452163543772e-06,0.0,1.6512920350161352e-13,0.5099952035767765,0.0,0.22775591931764128,0.7922344845816921,1,1,0.25983840866250935,0.7601519984260597,1,1,0.2919143504100482,0.7280760618099816,1,1,0.5904230562300993,0.0,0.29316058682469615,0.8902156538764144,1,1,0.32769582346376974,0.8547093680093713,1,1,0.36189178744624423,0.8199266079910449,1,1,0.08042785265332275,0.06540466750705487,intron_lead,0.0678574148012604,intron_lead,0.06997743703619602,intron_lead,0.09798116929472234,intron_lead,0.09455736958331151,intron_lead,0.09185054618106325,intron_lead,True
geometry_independent,collapsed,0.0,0.01,0.1,0.75,0.001,0.0,6.144521635816206e-06,7.900150450531526e-17,6.468671237562203e-13,0.7540902134851477,0.0,0.33675985418326143,0.9011509546750653,1,1,0.384844271400955,0.8850092961443127,1,1,0.43292211336549663,0.8688698855284381,1,1,0.7893324485010602,0.0,0.40677666846422805,0.9860675029772566,1,1,0.456047803275644,0.9620638477995415,1,1,0.504798309006231,0.9396563827622306,1,1,0.035242235015912504,0.07001681428096662,intron_lead,0.07120353187468897,intron_lead,0.07187619564073439,intron_lead,0.08491654830219131,intron_lead,0.07705455165522879,intron_lead,0.07078649723379249,intron_lead,True
geometry_independent,collapsed,0.0,0.01,0.3,0.25,0.001,3.469446951953614e-16,6.151046850003206e-06,3.30741866466077e-17,3.421543794595592e-14,0.27032769478313334,0.0,0.11868613979947151,0.6834690505038072,1,1,0.13481105678315392,0.6354348581881581,1,1,0.15092972741587646,0.587418465591007,1,1,0.548726676756062,0.0,0.2213809391655813,1.015006834001888,1,1,0.24987533890555438,0.9473705029658805,1,1,0.2808862100330823,0.8876351130118767,1,1,0.27839898197292867,0.10269479936610978,intron_lead,0.11506428212240047,intron_lead,0.12995648261720583,intron_lead,0.33153778349808083,intron_lead,0.3119356447777224,intron_lead,0.30021664742086973,intron_lead,True
geometry_independent,collapsed,0.0,0.01,0.3,0.5,0.001,1.734723475976807e-16,6.151046850003206e-06,0.0,7.287690912746328e-14,0.5099952035767765,0.0,0.22775591931764128,0.7922344845816922,1,1,0.25983840866250935,0.7601519984260597,1,1,0.2919143504100482,0.7280760618099817,1,1,0.6869678689408732,0.0,0.35143832440167044,1.091656530704473,1,1,0.39063537626380035,1.0247132706150537,1,1,0.42926406753722335,0.969779867356856,1,1,0.17697266536409673,0.12368240508402917,intron_lead,0.130796967601291,intron_lead,0.13734971712717514,intron_lead,0.2994220461227808,intron_lead,0.26456127218899395,intron_lead,0.2417038055468742,intron_lead,True
