gene,T,processing_mean,decay_mean,peak_fraction,channel,feature,time,quadrature_signal,binned_signal,absolute_error,peak_normalized_error
Kr,0.01,0.03,3.0,0.25,I,rise_50,0.15639180335922617,0.016452057117309026,0.016452059580536107,2.4632270806401735e-09,7.486075128108388e-08
Kr,0.01,0.03,3.0,0.25,I,peak,0.3129993446376218,0.03290414279950633,0.032904118974135865,2.3825370461250106e-08,7.240847367656363e-07
Kr,0.01,0.03,3.0,0.25,I,fall_50,0.6624414285564866,0.01645205840028532,0.016452059580536107,1.1802507859925981e-09,3.586939313631329e-08
Kr,0.01,0.03,3.0,0.25,E,rise_50,0.35659728538891716,0.21555633533319438,0.2155561500438188,1.852893755649454e-07,4.297937579773978e-07
Kr,0.01,0.03,3.0,0.25,E,peak,0.8235358362973432,0.4311125210520433,0.4311122755695171,2.4548252619549515e-07,5.69416660451564e-07
Kr,0.01,0.03,3.0,0.25,E,fall_50,2.966202735675684,0.21555614711044557,0.2155561500438188,2.9333732387559763e-09,6.804197509928788e-09
mlpt,3.0,0.01,0.1,0.5,I,rise_50,1.9275306047260592,0.20280943134353288,0.2028094313435329,2.7755575615628914e-17,6.842772407515547e-17
mlpt,3.0,0.01,0.1,0.5,I,peak,2.54133956430787,0.4056192001170043,0.405618676647221,5.234697832978696e-07,1.2905459569362425e-06
mlpt,3.0,0.01,0.1,0.5,I,fall_50,2.894914017612686,0.20280941235028008,0.20280943134353308,1.8993252998145138e-08,4.6825369195905465e-08
mlpt,3.0,0.01,0.1,0.5,E,rise_50,1.0659537196592728,0.1955073005973773,0.19550727001351817,3.058385913967676e-08,7.821667996684235e-08
mlpt,3.0,0.01,0.1,0.5,E,peak,3.2703897074927637,0.3910148779305262,0.39101441676815507,4.611623711237023e-07,1.1793995463488795e-06
mlpt,3.0,0.01,0.1,0.5,E,fall_50,3.6462556963910027,0.19550722026443207,0.19550727001351798,4.974908590638094e-08,1.2723078252522553e-07
svb,0.3,3.0,0.01,0.75,I,rise_50,0.6944979837025845,0.22660107733973098,0.2266012342158874,1.5687615642634434e-07,3.461502691483255e-07
svb,0.3,3.0,0.01,0.75,I,peak,1.0425253194978046,0.45320299369799244,0.4532024277836515,5.65914340944218e-07,1.2487009236786867e-06
svb,0.3,3.0,0.01,0.75,I,fall_50,3.153923064001777,0.22660123227260923,0.22660123421588735,1.943278121752101e-09,4.28788070920369e-09
svb,0.3,3.0,0.01,0.75,E,rise_50,0.8103968944266521,0.21765694494184418,0.21765703993428628,9.499244210675606e-08,2.1821587331941026e-07
svb,0.3,3.0,0.01,0.75,E,peak,1.1734535839008935,0.4353145571602605,0.4353140096632559,5.474970046215333e-07,1.2577057116710546e-06
svb,0.3,3.0,0.01,0.75,E,fall_50,3.284753334640053,0.21765703667944047,0.21765703993428626,3.254845781786031e-09,7.477005528442165e-09
