scenario_index,gene,T,processing_mean,decay_mean,peak_fraction,dt,rise_50_change,rise_class_changed,rise_sign_changed,fall_50_change,fall_class_changed,fall_sign_changed,peak_change,max_normalized_signal_change
0,Kr,0.01,0.01,0.01,0.25,0.0005,-9.669102177256583e-08,False,False,5.276940632584215e-07,False,False,-4.230857475076219e-06,2.268773993230333e-06
0,Kr,0.01,0.01,0.01,0.25,0.00025,-9.028312467074251e-08,False,False,5.081276852961225e-07,False,False,-3.711240207251651e-06,2.7304699886272765e-06
1,Kr,0.01,0.01,0.01,0.5,0.0005,4.0856988300225217e-07,False,False,-2.879361275399256e-07,False,False,5.970685565750977e-08,2.187997403146902e-06
1,Kr,0.01,0.01,0.01,0.5,0.00025,3.905219708374985e-07,False,False,-2.7062540346352304e-07,False,False,5.9263137706239144e-08,2.188059721741631e-06
2,Kr,0.01,0.01,0.01,0.75,0.0005,4.5942390629674645e-08,False,False,6.608041492467409e-08,False,False,-7.90810885397189e-06,2.416977513632415e-06
2,Kr,0.01,0.01,0.01,0.75,0.00025,4.4758739008513015e-08,False,False,6.622481963508564e-08,False,False,-9.912819845515203e-06,3.018365252223029e-06
15,Kr,0.01,0.01,3.0,0.25,0.0005,-2.5968932668152256e-07,False,False,3.231688001648081e-07,False,False,1.6524167395504108e-06,2.258202280946975e-06
15,Kr,0.01,0.01,3.0,0.25,0.00025,-2.9002505100295117e-07,False,False,-4.969801947751762e-08,False,False,3.592210446878852e-06,2.7301907039554985e-06
16,Kr,0.01,0.01,3.0,0.5,0.0005,1.532909293944229e-07,False,False,-2.1275439587853384e-06,False,False,-2.0091759928009267e-07,7.301044147034474e-07
16,Kr,0.01,0.01,3.0,0.5,0.00025,1.0810833556140764e-07,False,False,-2.224794756866544e-06,False,False,-4.760972484585402e-07,7.945586478486089e-07
17,Kr,0.01,0.01,3.0,0.75,0.0005,5.4454948966720096e-08,False,False,-8.142228433705156e-07,False,False,-2.6262468437260322e-05,2.4171053403070075e-06
17,Kr,0.01,0.01,3.0,0.75,0.00025,3.7416644588228465e-08,False,False,-1.0531983445360993e-06,False,False,-3.289639102263542e-05,3.0185260342392023e-06
39,Kr,0.01,0.1,0.03,0.25,0.0005,-3.321266535578904e-08,False,False,1.4734468144032842e-07,False,False,-1.5560295098249188e-07,1.540717258774471e-06
39,Kr,0.01,0.1,0.03,0.25,0.00025,-2.749940876574375e-08,False,False,1.4613851205373674e-07,False,False,-1.5607557836416763e-07,1.7438692933025024e-06
40,Kr,0.01,0.1,0.03,0.5,0.0005,-1.473031278030612e-07,False,False,1.9245909702557407e-07,False,False,-8.677561308401138e-10,8.630133713216637e-07
40,Kr,0.01,0.1,0.03,0.5,0.00025,-1.6877916325305775e-07,False,False,2.153121405942121e-07,False,False,-1.5008361636814627e-09,9.985705081705376e-07
41,Kr,0.01,0.1,0.03,0.75,0.0005,-4.2297182382272647e-07,False,False,1.680804205539399e-07,False,False,6.617624239146913e-07,2.6935067534150647e-06
41,Kr,0.01,0.1,0.03,0.75,0.00025,-2.2748771719843797e-07,False,False,6.011996264709829e-08,False,False,2.8718661698734493e-07,2.8768478030904987e-06
79,Kr,0.01,1.0,0.1,0.5,0.0005,3.934187331813832e-09,False,False,-1.2759060023792568e-08,False,False,-1.4533687654402772e-08,2.7056830137484056e-07
79,Kr,0.01,1.0,0.1,0.5,0.00025,2.144659818660577e-08,False,False,-7.240709831018988e-08,False,False,7.456329930224936e-09,3.726554390626191e-07
90,Kr,0.01,3.0,0.01,0.25,0.0005,-4.4201040104961675e-08,False,False,1.2871552318785562e-08,False,False,6.703678341601904e-10,4.515110393621402e-07
