gene,phase,threshold,n_scenarios,n_valid,n_invalid,n_intron_lead,n_exon_lead,n_small,n_positive_without_tolerance,n_negative_without_tolerance,n_zero_without_tolerance,minimum_offset,maximum_offset,median_offset,fraction_intron_lead,fraction_exon_lead,fraction_small,fraction_positive_without_tolerance,fraction_negative_without_tolerance
Kr,rise,40,648,648,0,613,0,35,648,0,0,0.0041272447508655,1.4463819472396977,0.13263121366107425,0.9459876543209876,0.0,0.05401234567901234,1.0,0.0
Kr,rise,50,648,648,0,616,0,32,648,0,0,0.0041278160541824,1.4206012329848283,0.138359776213887,0.9506172839506173,0.0,0.04938271604938271,1.0,0.0
Kr,rise,60,648,648,0,616,0,32,648,0,0,0.0041281324031953,1.393897774654673,0.14567621207464942,0.9506172839506173,0.0,0.04938271604938271,1.0,0.0
Kr,fall,40,648,648,0,621,0,27,648,0,0,0.0041655646698832,3.8099371309773447,0.36210252666382603,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
Kr,fall,50,648,648,0,621,0,27,648,0,0,0.0041655332516703,3.1950828622090803,0.3526269432326853,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
Kr,fall,60,648,648,0,621,0,27,648,0,0,0.0041655313022763,2.8193892039696493,0.35506572090464816,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
mlpt,rise,40,648,648,0,247,259,142,314,334,0,-0.937767836237118,0.2134625601147328,-0.00032408747297304997,0.38117283950617287,0.39969135802469136,0.2191358024691358,0.4845679012345679,0.5154320987654321
mlpt,rise,50,648,648,0,251,254,143,322,326,0,-0.9395875714719502,0.2203751248404598,-3.979418629729281e-05,0.3873456790123457,0.39197530864197533,0.22067901234567902,0.49691358024691357,0.5030864197530864
mlpt,rise,60,648,648,0,313,190,145,384,264,0,-0.92619420717296,0.7145576077828237,0.00725509825849,0.48302469135802467,0.2932098765432099,0.22376543209876543,0.5925925925925926,0.4074074074074074
mlpt,fall,40,648,648,0,543,2,103,621,27,0,-0.0170005194273334,3.562051984009366,0.2694835161309931,0.8379629629629629,0.0030864197530864196,0.15895061728395063,0.9583333333333334,0.041666666666666664
mlpt,fall,50,648,648,0,542,2,104,618,30,0,-0.0181837403588964,2.9737596624683107,0.24303535952135763,0.8364197530864198,0.0030864197530864196,0.16049382716049382,0.9537037037037037,0.046296296296296294
mlpt,fall,60,648,648,0,538,4,106,616,32,0,-0.0189284481595515,2.6326459520873904,0.2365306636510345,0.8302469135802469,0.006172839506172839,0.16358024691358025,0.9506172839506173,0.04938271604938271
svb,rise,40,648,648,0,613,0,35,648,0,0,0.0040799852507855,1.428136577164199,0.1344576433108746,0.9459876543209876,0.0,0.05401234567901234,1.0,0.0
svb,rise,50,648,648,0,613,0,35,648,0,0,0.0040804760030009,1.43604080050053,0.1419957459327694,0.9459876543209876,0.0,0.05401234567901234,1.0,0.0
svb,rise,60,648,648,0,616,0,32,648,0,0,0.0040807384572978,1.4576795068332713,0.1474713723273985,0.9506172839506173,0.0,0.04938271604938271,1.0,0.0
svb,fall,40,648,648,0,621,0,27,648,0,0,0.0041149283707602,4.197680799662498,0.4049217241114831,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
svb,fall,50,648,648,0,621,0,27,648,0,0,0.0041149230783439,3.582327313559148,0.40516150573971577,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
svb,fall,60,648,648,0,621,0,27,648,0,0,0.0041149335014272,3.0866357495676584,0.40593147307559513,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
