gene,T,processing_mean,decay_mean,phase,threshold,n_scenarios,n_valid,n_invalid,n_intron_lead,n_exon_lead,n_small,n_positive_without_tolerance,n_negative_without_tolerance,n_zero_without_tolerance,minimum_offset,maximum_offset,median_offset,fraction_intron_lead,fraction_exon_lead,fraction_small,fraction_positive_without_tolerance,fraction_negative_without_tolerance
Kr,0.01,0.01,0.01,rise,40,3,3,0,0,0,3,3,0,0,0.0081232820664475,0.0081790546728352,0.008176485769529,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.01,0.01,rise,50,3,3,0,0,0,3,3,0,0,0.0081814010917242,0.0082055610758636,0.0082034765000282,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.01,0.01,rise,60,3,3,0,0,0,3,3,0,0,0.0081802525870432,0.0082801788423206,0.0082272598780949,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.01,0.01,fall,40,3,3,0,0,0,3,3,0,0,0.0084301672324551,0.0085754398873133,0.0084686372490471,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.01,0.01,fall,50,3,3,0,0,0,3,3,0,0,0.0083428381536279,0.0085912414058937,0.0084422001344993,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.01,0.01,fall,60,3,3,0,0,0,3,3,0,0,0.008257408885549,0.0086177879562003,0.008420563552047,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.01,0.03,rise,40,3,3,0,3,0,0,3,0,0,0.0228207311083979,0.024373796325338,0.0240593264991315,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.01,0.03,rise,50,3,3,0,3,0,0,3,0,0,0.0236030739738032,0.0244820232783579,0.0243560278033245,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.01,0.03,rise,60,3,3,0,3,0,0,3,0,0,0.0243561836476104,0.0245981575631801,0.0245332807190112,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.01,0.03,fall,40,3,3,0,3,0,0,3,0,0,0.0262132753498961,0.0289487176504794,0.0272838673937869,1.0,0.0,0.0,1.0,0.0
