gene,peak_fraction,phase,threshold,n_scenarios,n_valid,n_invalid,n_intron_lead,n_exon_lead,n_small,n_positive_without_tolerance,n_negative_without_tolerance,n_zero_without_tolerance,minimum_offset,maximum_offset,median_offset,fraction_intron_lead,fraction_exon_lead,fraction_small,fraction_positive_without_tolerance,fraction_negative_without_tolerance
Kr,0.25,rise,40,216,216,0,205,0,11,216,0,0,0.0041380329219022,1.4233452022365447,0.13080117330814073,0.9490740740740741,0.0,0.05092592592592592,1.0,0.0
Kr,0.25,rise,50,216,216,0,206,0,10,216,0,0,0.004138765159932,1.397050324541219,0.1390281987990855,0.9537037037037037,0.0,0.046296296296296294,1.0,0.0
Kr,0.25,rise,60,216,216,0,206,0,10,216,0,0,0.0041395777913289,1.3667366241866608,0.15001215826785658,0.9537037037037037,0.0,0.046296296296296294,1.0,0.0
Kr,0.25,fall,40,216,216,0,207,0,9,216,0,0,0.0041655646698832,3.8099371309773447,0.3684223117570433,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
Kr,0.25,fall,50,216,216,0,207,0,9,216,0,0,0.0041655332516703,3.1950828622090803,0.38288519174090974,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
Kr,0.25,fall,60,216,216,0,207,0,9,216,0,0,0.0041655313022763,2.8193892039696493,0.3761845981624564,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
Kr,0.5,rise,40,216,216,0,204,0,12,216,0,0,0.0041318500925309,1.431363885656161,0.1339402760841937,0.9444444444444444,0.0,0.05555555555555555,1.0,0.0
Kr,0.5,rise,50,216,216,0,206,0,10,216,0,0,0.0041340255336961,1.4048551505972264,0.1394831243008115,0.9537037037037037,0.0,0.046296296296296294,1.0,0.0
Kr,0.5,rise,60,216,216,0,206,0,10,216,0,0,0.0041360073841953,1.3749424032245396,0.14579181051638465,0.9537037037037037,0.0,0.046296296296296294,1.0,0.0
Kr,0.5,fall,40,216,216,0,207,0,9,216,0,0,0.0041790822934584,3.765296262360197,0.36308175443551627,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
Kr,0.5,fall,50,216,216,0,207,0,9,216,0,0,0.0041791080028033,3.1438870350150125,0.3562765995841547,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
Kr,0.5,fall,60,216,216,0,207,0,9,216,0,0,0.0041791058935478,2.8038476325085933,0.35506572090464816,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
Kr,0.75,rise,40,216,216,0,204,0,12,216,0,0,0.0041272447508655,1.4463819472396977,0.133725420551881,0.9444444444444444,0.0,0.05555555555555555,1.0,0.0
Kr,0.75,rise,50,216,216,0,204,0,12,216,0,0,0.0041278160541824,1.4206012329848283,0.13609919303625834,0.9444444444444444,0.0,0.05555555555555555,1.0,0.0
Kr,0.75,rise,60,216,216,0,204,0,12,216,0,0,0.0041281324031953,1.393897774654673,0.1392610000496191,0.9444444444444444,0.0,0.05555555555555555,1.0,0.0
Kr,0.75,fall,40,216,216,0,207,0,9,216,0,0,0.0042160414197653,3.724863745164543,0.3519014911373506,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
Kr,0.75,fall,50,216,216,0,207,0,9,216,0,0,0.0042160035703115,3.121952778363453,0.3459026073619462,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
Kr,0.75,fall,60,216,216,0,207,0,9,216,0,0,0.0042160128030239,2.787614312550165,0.3494879017384649,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
mlpt,0.25,rise,40,216,216,0,85,83,48,108,108,0,-0.9277820201484104,0.1823255599581958,-2.2825741759005536e-05,0.39351851851851855,0.38425925925925924,0.2222222222222222,0.5,0.5
mlpt,0.25,rise,50,216,216,0,88,80,48,112,104,0,-0.9288170543006752,0.2130825015836741,0.00155681649649555,0.4074074074074074,0.37037037037037035,0.2222222222222222,0.5185185185185185,0.48148148148148145
mlpt,0.25,rise,60,216,216,0,113,55,48,138,78,0,-0.8844577123430666,0.6768541049963845,0.0136263519483049,0.5231481481481481,0.25462962962962965,0.2222222222222222,0.6388888888888888,0.3611111111111111
mlpt,0.25,fall,40,216,216,0,178,1,37,205,11,0,-0.0170005194273334,3.562051984009366,0.27840469999167117,0.8240740740740741,0.004629629629629629,0.1712962962962963,0.9490740740740741,0.05092592592592592
mlpt,0.25,fall,50,216,216,0,178,1,37,204,12,0,-0.0181837403588964,2.972274295875523,0.2807426424163767,0.8240740740740741,0.004629629629629629,0.1712962962962963,0.9444444444444444,0.05555555555555555
mlpt,0.25,fall,60,216,216,0,178,1,37,204,12,0,-0.0189284481595515,2.63235077178872,0.2772524822728595,0.8240740740740741,0.004629629629629629,0.1712962962962963,0.9444444444444444,0.05555555555555555
mlpt,0.5,rise,40,216,216,0,83,87,46,104,112,0,-0.9343019447728108,0.2020711721069424,-0.00034184775881235,0.38425925925925924,0.4027777777777778,0.21296296296296297,0.48148148148148145,0.5185185185185185
mlpt,0.5,rise,50,216,216,0,84,86,46,108,108,0,-0.9366307582209004,0.2177557655930983,0.00011467703040863664,0.3888888888888889,0.39814814814814814,0.21296296296296297,0.5,0.5
mlpt,0.5,rise,60,216,216,0,103,65,48,128,88,0,-0.9150637277309308,0.7063225649607157,0.00737066267097485,0.47685185185185186,0.30092592592592593,0.2222222222222222,0.5925925925925926,0.4074074074074074
mlpt,0.5,fall,40,216,216,0,179,1,36,206,10,0,-0.0128314140720084,3.522056267944143,0.275218604643086,0.8287037037037037,0.004629629629629629,0.16666666666666666,0.9537037037037037,0.046296296296296294
mlpt,0.5,fall,50,216,216,0,179,1,36,205,11,0,-0.0159847258077403,2.9737596624683107,0.24629155867785946,0.8287037037037037,0.004629629629629629,0.16666666666666666,0.9490740740740741,0.05092592592592592
mlpt,0.5,fall,60,216,216,0,178,1,37,205,11,0,-0.0183483927109461,2.6326459520873904,0.2365306636510345,0.8240740740740741,0.004629629629629629,0.1712962962962963,0.9490740740740741,0.05092592592592592
mlpt,0.75,rise,40,216,216,0,79,89,48,102,114,0,-0.937767836237118,0.2134625601147328,-0.00079902639049725,0.36574074074074076,0.41203703703703703,0.2222222222222222,0.4722222222222222,0.5277777777777778
mlpt,0.75,rise,50,216,216,0,79,88,49,102,114,0,-0.9395875714719502,0.2203751248404598,-0.0007775914232944,0.36574074074074076,0.4074074074074074,0.22685185185185186,0.4722222222222222,0.5277777777777778
mlpt,0.75,rise,60,216,216,0,97,70,49,118,98,0,-0.92619420717296,0.7145576077828237,0.0036050612726972503,0.44907407407407407,0.32407407407407407,0.22685185185185186,0.5462962962962963,0.4537037037037037
mlpt,0.75,fall,40,216,216,0,186,0,30,210,6,0,-0.0031303857862794,3.4871819786910576,0.26326364329762864,0.8611111111111112,0.0,0.1388888888888889,0.9722222222222222,0.027777777777777776
mlpt,0.75,fall,50,216,216,0,185,0,31,209,7,0,-0.0071252050335628,2.9668183229145324,0.225065923200716,0.8564814814814815,0.0,0.14351851851851852,0.9675925925925926,0.032407407407407406
mlpt,0.75,fall,60,216,216,0,182,2,32,207,9,0,-0.0141485324510601,2.6247795746775484,0.21199128259518904,0.8425925925925926,0.009259259259259259,0.14814814814814814,0.9583333333333334,0.041666666666666664
svb,0.25,rise,40,216,216,0,205,0,11,216,0,0,0.0040897782679936,1.383199681393967,0.13196809983674446,0.9490740740740741,0.0,0.05092592592592592,1.0,0.0
svb,0.25,rise,50,216,216,0,205,0,11,216,0,0,0.0040904187207001,1.3874585061699032,0.14131357562840247,0.9490740740740741,0.0,0.05092592592592592,1.0,0.0
svb,0.25,rise,60,216,216,0,206,0,10,216,0,0,0.0040911259368482,1.4037760524715004,0.1532258608938521,0.9537037037037037,0.0,0.046296296296296294,1.0,0.0
svb,0.25,fall,40,216,216,0,207,0,9,216,0,0,0.0041149283707602,4.197680799662498,0.41447563296365053,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
svb,0.25,fall,50,216,216,0,207,0,9,216,0,0,0.0041149230783439,3.582327313559148,0.40516150573971577,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
svb,0.25,fall,60,216,216,0,207,0,9,216,0,0,0.0041149335014272,3.0866357495676584,0.40593147307559513,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
svb,0.5,rise,40,216,216,0,204,0,12,216,0,0,0.0040843310074999,1.4064256680414415,0.1343527636077771,0.9444444444444444,0.0,0.05555555555555555,1.0,0.0
svb,0.5,rise,50,216,216,0,204,0,12,216,0,0,0.0040862741866372,1.411346577623814,0.14032629736196567,0.9444444444444444,0.0,0.05555555555555555,1.0,0.0
svb,0.5,rise,60,216,216,0,206,0,10,216,0,0,0.0040880744518254,1.4306203305146223,0.1475415085072883,0.9537037037037037,0.0,0.046296296296296294,1.0,0.0
svb,0.5,fall,40,216,216,0,207,0,9,216,0,0,0.004125619840126,4.1560321940473255,0.40461784238977483,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
svb,0.5,fall,50,216,216,0,207,0,9,216,0,0,0.0041256090685961,3.531928446661064,0.3992300336237664,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
svb,0.5,fall,60,216,216,0,207,0,9,216,0,0,0.0041256075893674,3.029765542353311,0.4016268731503071,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0
svb,0.75,rise,40,216,216,0,204,0,12,216,0,0,0.0040799852507855,1.428136577164199,0.13906085273228286,0.9444444444444444,0.0,0.05555555555555555,1.0,0.0
