gene,T,decay_mean,phase,threshold,n_scenarios,n_valid,n_invalid,n_intron_lead,n_exon_lead,n_small,n_positive_without_tolerance,n_negative_without_tolerance,n_zero_without_tolerance,minimum_offset,maximum_offset,median_offset,fraction_intron_lead,fraction_exon_lead,fraction_small,fraction_positive_without_tolerance,fraction_negative_without_tolerance
Kr,0.01,0.01,rise,40,18,18,0,0,0,18,18,0,0,0.0041272447508655,0.0081790546728352,0.00457690983927375,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.01,rise,50,18,18,0,0,0,18,18,0,0,0.0041278160541824,0.0082055610758636,0.00458200075148755,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.01,rise,60,18,18,0,0,0,18,18,0,0,0.0041281324031953,0.0082801788423206,0.0045804800363277,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.01,fall,40,18,18,0,0,0,18,18,0,0,0.0041655646698832,0.0085754398873133,0.0046620721637543,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.01,fall,50,18,18,0,0,0,18,18,0,0,0.0041655332516703,0.0085912414058937,0.0046587991156422,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.01,fall,60,18,18,0,0,0,18,18,0,0,0.0041655313022763,0.0086177879562003,0.0046539037794224,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.03,rise,40,18,18,0,6,0,12,18,0,0,0.0043475941966574,0.024373796325338,0.0081089134202498,0.3333333333333333,0.0,0.6666666666666666,1.0,0.0
Kr,0.01,0.03,rise,50,18,18,0,8,0,10,18,0,0,0.0043489148525945,0.0244820232783579,0.0082398936071822,0.4444444444444444,0.0,0.5555555555555556,1.0,0.0
Kr,0.01,0.03,rise,60,18,18,0,8,0,10,18,0,0,0.0043492200112607,0.0245981575631801,0.0082873815302223,0.4444444444444444,0.0,0.5555555555555556,1.0,0.0
Kr,0.01,0.03,fall,40,18,18,0,9,0,9,18,0,0,0.0045245770183957,0.0289487176504794,0.0094950562677595,0.5,0.0,0.5,1.0,0.0
Kr,0.01,0.03,fall,50,18,18,0,9,0,9,18,0,0,0.0045245444453909,0.0291966321635743,0.0093245216369922,0.5,0.0,0.5,1.0,0.0
Kr,0.01,0.03,fall,60,18,18,0,9,0,9,18,0,0,0.0045245500445818,0.0295799589393268,0.009085510403630901,0.5,0.0,0.5,1.0,0.0
Kr,0.01,0.1,rise,40,18,18,0,13,0,5,18,0,0,0.0059312214119641,0.0736589480234765,0.0248920929905789,0.7222222222222222,0.0,0.2777777777777778,1.0,0.0
Kr,0.01,0.1,rise,50,18,18,0,14,0,4,18,0,0,0.0059513125452963,0.0748450058158273,0.0274558233698535,0.7777777777777778,0.0,0.2222222222222222,1.0,0.0
Kr,0.01,0.1,rise,60,18,18,0,14,0,4,18,0,0,0.0059536710498092,0.0755165425507199,0.03021933310643225,0.7777777777777778,0.0,0.2222222222222222,1.0,0.0
Kr,0.01,0.1,fall,40,18,18,0,18,0,0,18,0,0,0.0114836356450274,0.1155583921850361,0.05096746526747315,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,fall,50,18,18,0,18,0,0,18,0,0,0.0114835971842941,0.1158951049482657,0.045135134449062,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,fall,60,18,18,0,18,0,0,18,0,0,0.0114836012714034,0.1170901119525418,0.04027626691135175,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,rise,40,18,18,0,18,0,0,18,0,0,0.0101849337668262,0.1402407498114374,0.05587374104514185,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,rise,50,18,18,0,18,0,0,18,0,0,0.0103596230898713,0.1439748241960767,0.0641454373440266,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,rise,60,18,18,0,18,0,0,18,0,0,0.01044097455743,0.1461163082955093,0.07396699077558695,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,fall,40,18,18,0,18,0,0,18,0,0,0.103072088226908,0.3352576931217501,0.22547401304425105,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,fall,50,18,18,0,18,0,0,18,0,0,0.1029625362032389,0.315651840307103,0.18703287902995105,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,fall,60,18,18,0,18,0,0,18,0,0,0.1024351311045252,0.303929966991702,0.1568817909235945,1.0,0.0,0.0,1.0,0.0
Kr,0.01,1.0,rise,40,18,18,0,18,0,0,18,0,0,0.0152862814643094,0.1940189695246432,0.0914269829127681,1.0,0.0,0.0,1.0,0.0
Kr,0.01,1.0,rise,50,18,18,0,18,0,0,18,0,0,0.015764871779781,0.1999066368393649,0.10905858711512004,1.0,0.0,0.0,1.0,0.0
Kr,0.01,1.0,rise,60,18,18,0,18,0,0,18,0,0,0.0160524735819705,0.2074290732625162,0.1211113175773457,1.0,0.0,0.0,1.0,0.0
Kr,0.01,1.0,fall,40,18,18,0,18,0,0,18,0,0,0.7962808500397278,1.0473136584415257,0.8830132633538329,1.0,0.0,0.0,1.0,0.0
Kr,0.01,1.0,fall,50,18,18,0,18,0,0,18,0,0,0.681251888233017,0.8722043747022635,0.7499712570855809,1.0,0.0,0.0,1.0,0.0
Kr,0.01,1.0,fall,60,18,18,0,18,0,0,18,0,0,0.529505925969013,0.7602757223006633,0.6363837487701614,1.0,0.0,0.0,1.0,0.0
Kr,0.01,3.0,rise,40,18,18,0,18,0,0,18,0,0,0.0178554602219063,0.2177755948476424,0.11385745507906736,1.0,0.0,0.0,1.0,0.0
Kr,0.01,3.0,rise,50,18,18,0,18,0,0,18,0,0,0.0185207158361853,0.2246871792703796,0.1347515869775453,1.0,0.0,0.0,1.0,0.0
Kr,0.01,3.0,rise,60,18,18,0,18,0,0,18,0,0,0.0189483864354272,0.2511577593361195,0.1464686494638751,1.0,0.0,0.0,1.0,0.0
