gene,mode,T,processing_mean,decay_mean,peak_fraction,dt,mass_relative_error_I,mass_relative_error_E,tail_fraction_I,tail_fraction_E,I_peak,I_flat_peak_width,I_rise_40,I_fall_40,I_upcrossings_40,I_downcrossings_40,I_rise_50,I_fall_50,I_upcrossings_50,I_downcrossings_50,I_rise_60,I_fall_60,I_upcrossings_60,I_downcrossings_60,E_peak,E_flat_peak_width,E_rise_40,E_fall_40,E_upcrossings_40,E_downcrossings_40,E_rise_50,E_fall_50,E_upcrossings_50,E_downcrossings_50,E_rise_60,E_fall_60,E_upcrossings_60,E_downcrossings_60,peak_offset,rise_40_offset,rise_40_class,rise_50_offset,rise_50_class,rise_60_offset,rise_60_class,fall_40_offset,fall_40_class,fall_50_offset,fall_50_class,fall_60_offset,fall_60_class,valid
Kr,mapped,0.01,0.01,0.01,0.25,0.001,3.459418018971437e-06,3.3803891029036586e-05,3.997609140213724e-13,3.6235241262365153e-12,0.2745290973482255,0.0010000000000000009,0.12283553967950435,0.687626318919977,1,1,0.13896268714192062,0.6395920610995459,1,1,0.1550836333251986,0.5915757714387094,1,1,0.28586691221886207,0.0,0.1309588217459519,0.6962017588072904,1,1,0.14716616364194884,0.6481833025054397,1,1,0.1633638121675192,0.6001935593949098,1,1,0.011337814870636564,0.008123282066447537,small,0.008203476500028228,small,0.008280178842320601,small,0.008575439887313352,small,0.008591241405893735,small,0.008617787956200385,small,True
Kr,mapped,0.01,0.01,0.01,0.5,0.001,3.4594180194887606e-06,3.380389103362435e-05,8.986336393974864e-13,8.14283731851093e-12,0.5141481714196703,0.0,0.23190508192365622,0.7963913599608152,1,1,0.2639882077701855,0.7643081370582381,1,1,0.29606470610584196,0.7322315636128588,1,1,0.5224720527589716,0.0010000000000000009,0.24008413659649144,0.8048599972098623,1,1,0.2721937688460491,0.7727503371927374,1,1,0.30429196598393693,0.7406521271649058,1,1,0.008323881339301287,0.008179054672835223,small,0.008205561075863621,small,0.008227259878094972,small,0.008468637249047117,small,0.008442200134499367,small,0.008420563552047011,small,True
Kr,mapped,0.01,0.01,0.01,0.75,0.001,3.4594180223340412e-06,3.380389105832767e-05,3.5933662447531198e-12,3.2557853876414697e-11,0.7580902275328372,0.0,0.34090572351397036,0.905308840508143,1,1,0.38898954431823646,0.8891649595392018,1,1,0.4370665106072552,0.8730236541748787,1,1,0.7639110602127527,0.0,0.3490822092834994,0.9137390077405981,1,1,0.39717094540996073,0.8975077976928297,1,1,0.44524676319429846,0.8812810630604277,1,1,0.005820832679915511,0.008176485769529063,small,0.008181401091724272,small,0.008180252587043246,small,0.008430167232455155,small,0.008342838153627907,small,0.008257408885549045,small,True
Kr,mapped,0.01,0.01,0.03,0.25,0.001,0.0,6.402272594025771e-06,9.213716733229623e-17,2.418505916012593e-13,0.27453032559392815,0.0010000000000000009,0.12283566731389596,0.6876270515815828,1,1,0.13896284280264964,0.6395928369597329,1,1,0.15508381774604152,0.5915766052679966,1,1,0.31974866588959194,0.0,0.1456563984222939,0.7165757692320622,1,1,0.16256591677645285,0.6687894691233073,1,1,0.17944000139365193,0.6211565642073235,1,1,0.045218340295663795,0.022820731108397926,intron_lead,0.023603073973803207,intron_lead,0.024356183647610413,intron_lead,0.02894871765047946,intron_lead,0.029196632163574376,intron_lead,0.029579958939326856,intron_lead,True
Kr,mapped,0.01,0.01,0.03,0.5,0.001,1.2933093696234305e-16,6.4022725942007205e-06,9.206105696497177e-17,5.405014862600596e-13,0.5141485628223013,0.0,0.23190537308988005,0.7963918518227587,1,1,0.26398851716793414,0.7643086104705133,1,1,0.2960650306680344,0.7322320218825145,1,1,0.5398195399663244,0.0,0.25596469958901163,0.8236757192165457,1,1,0.2883445449712587,0.7912948187170339,1,1,0.32066318823121454,0.7589760576101663,1,1,0.02567097714402311,0.02405932649913159,intron_lead,0.024356027803324576,intron_lead,0.024598157563180123,intron_lead,0.027283867393786965,intron_lead,0.026986208246520538,intron_lead,0.026744035727651827,intron_lead,True
Kr,mapped,0.01,0.01,0.03,0.75,0.001,1.2933093696234305e-16,6.402272596300116e-06,1.3804887656453033e-16,2.155643583629705e-12,0.7580903516700254,0.0,0.3409060660670889,0.9053091905606632,1,1,0.38898989840070025,0.8891652571754253,1,1,0.4370668739344401,0.8730239049761899,1,1,0.7714289655399919,0.0,0.365279862392427,0.9315224659105593,1,1,0.4134719216790582,0.9144396361647449,1,1,0.46160015465345133,0.8974040949987002,1,1,0.013338613869966487,0.024373796325338093,intron_lead,0.024482023278357967,intron_lead,0.02453328071901123,intron_lead,0.026213275349896148,intron_lead,0.025274378989319612,intron_lead,0.02438019002251035,intron_lead,True
Kr,mapped,0.01,0.01,0.1,0.25,0.001,0.0,6.012568770605694e-06,7.370973386583696e-18,7.43118098005679e-14,0.2745303255939401,0.0010000000000000009,0.12283566731389596,0.6876270515815829,1,1,0.13896284280264967,0.6395928369597329,1,1,0.15508381774604155,0.5915766052679966,1,1,0.41848546103268625,0.0010000000000000009,0.1820948041704262,0.803185443766619,1,1,0.20268032691239551,0.7554879419079986,1,1,0.22355788623155004,0.7086667172205384,1,1,0.14395513543874616,0.05925913685653024,intron_lead,0.06371748410974584,intron_lead,0.0684740684855085,intron_lead,0.11555839218503616,intron_lead,0.11589510494826571,intron_lead,0.11709011195254182,intron_lead,True
Kr,mapped,0.01,0.01,0.1,0.5,0.001,1.2933093696234305e-16,6.012568770605694e-06,0.0,1.6158796509481434e-13,0.5141485628222976,0.0,0.23190537308988002,0.7963918518227587,1,1,0.26398851716793414,0.7643086104705133,1,1,0.2960650306680344,0.7322320218825144,1,1,0.5982301444207713,0.0,0.3009578933282223,0.8980336092429954,1,1,0.3354948831499506,0.8625251535073932,1,1,0.3696924357188288,0.8277405337397363,1,1,0.08408158159847368,0.0690525202383423,intron_lead,0.07150636598201643,intron_lead,0.0736274050507944,intron_lead,0.10164175742023662,intron_lead,0.09821654303687988,intron_lead,0.09550851185722198,intron_lead,True
Kr,mapped,0.01,0.01,0.1,0.75,0.001,1.2933093696234305e-16,6.012568770985345e-06,0.0,6.331385184767354e-13,0.7580903516700251,0.0,0.34090606606708895,0.9053091905606633,1,1,0.3889898984007003,0.8891652571754253,1,1,0.4370668739344402,0.8730239049761899,1,1,0.7971083049428919,0.0,0.41456501409056545,0.9939004026511442,1,1,0.4638349042165277,0.9698880486791084,1,1,0.5125834164851601,0.9474743720032277,1,1,0.03901795327286672,0.0736589480234765,intron_lead,0.07484500581582737,intron_lead,0.07551654255071993,intron_lead,0.08859121209048093,intron_lead,0.08072279150368311,intron_lead,0.07445046702703784,intron_lead,True
Kr,mapped,0.01,0.01,0.3,0.25,0.001,2.586618739246861e-16,6.107509797155828e-06,0.0,3.402156289445575e-14,0.2745303255939164,0.0010000000000000009,0.12283566731389595,0.687627051581583,1,1,0.13896284280264962,0.639592836959733,1,1,0.15508381774604146,0.5915766052679968,1,1,0.5565918793534916,0.0010000000000000009,0.2292387420956029,1.0228847447033331,1,1,0.25774055004865065,0.955244677266836,1,1,0.28875111972364753,0.8955065722596989,1,1,0.28206155375957526,0.10640307478170696,intron_lead,0.11877770724600104,intron_lead,0.13366730197760607,intron_lead,0.33525769312175013,intron_lead,0.315651840307103,intron_lead,0.30392996699170205,intron_lead,True
