Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
0,87.0,128.0,139.16666666666666,189.0,114.0,563.5,260.5,119.5,84.5,162.0
1,108.58333333333333,274.75,161.83333333333334,375.6666666666667,122.75,328.6666666666667,219.83333333333334,130.58333333333334,94.33333333333333,224.83333333333334
2,112.6842105263158,459.5263157894737,170.68421052631578,402.0,144.10526315789474,406.0,222.68421052631578,140.78947368421052,98.26315789473684,276.4736842105263
3,122.44444444444444,518.1851851851852,188.88888888888889,446.25925925925924,159.85185185185185,430.14814814814815,231.59259259259258,153.88888888888889,98.44444444444444,284.55555555555554
4,129.26666666666668,564.1,191.96666666666667,526.9333333333333,161.46666666666667,446.43333333333334,262.73333333333335,160.3,98.2,285.3666666666667
5,140.03125,748.625,201.28125,531.25,161.84375,497.9375,266.59375,165.75,104.625,283.90625
6,155.47058823529412,824.8823529411765,198.2941176470588,467.70588235294116,171.2941176470588,448.2647058823529,267.8235294117647,170.3235294117647,100.82352941176471,291.6470588235294
7,156.45945945945945,811.6756756756756,196.48648648648648,467.35135135135135,170.97297297297297,447.3783783783784,273.6756756756757,176.67567567567568,98.16216216216216,308.05405405405406
8,147.57894736842104,752.578947368421,210.73684210526315,467.8157894736842,164.31578947368422,481.0263157894737,293.10526315789474,176.8421052631579,100.42105263157895,299.60526315789474
9,148.05128205128204,669.5897435897435,207.17948717948718,497.35897435897436,165.71794871794873,507.6923076923077,279.1794871794872,174.23076923076923,101.38461538461539,313.38461538461536
10,148.25641025641025,653.0512820512821,203.56410256410257,506.1025641025641,171.3846153846154,468.0,276.84615384615387,179.82051282051282,102.58974358974359,337.5128205128205
11,139.22641509433961,558.811320754717,244.24528301886792,494.5660377358491,171.0188679245283,549.1132075471698,277.52830188679246,177.73584905660377,104.60377358490567,327.8301886792453
12,157.01694915254237,513.2372881355932,244.77966101694915,491.2881355932203,171.28813559322035,473.54237288135596,286.47457627118644,171.135593220339,103.40677966101696,321.1186440677966
13,174.49253731343285,471.0,245.76119402985074,506.7164179104478,173.46268656716418,487.34328358208955,290.4925373134328,170.28358208955223,104.40298507462687,320.07462686567163
14,169.73333333333332,496.6,262.96,526.08,177.01333333333332,505.08,281.56,174.09333333333333,104.88,315.32
15,164.8641975308642,556.0617283950618,266.5679012345679,553.1728395061729,172.91358024691357,531.9629629629629,266.8024691358025,179.28395061728395,100.87654320987654,291.25925925925924
16,157.96666666666667,571.3,275.7888888888889,484.05555555555554,165.4777777777778,493.05555555555554,265.8888888888889,176.12222222222223,103.02222222222223,294.3888888888889
17,151.41584158415841,580.3168316831683,281.44554455445547,443.71287128712873,171.62376237623764,507.3267326732673,275.1089108910891,174.83168316831683,101.38613861386139,282.5247524752475
18,156.87128712871288,649.7029702970297,257.44554455445547,484.0792079207921,174.7029702970297,520.7920792079208,270.8811881188119,172.35643564356437,97.94059405940594,285.08910891089107
19,158.41176470588235,715.8039215686274,249.0686274509804,482.45098039215685,171.31372549019608,481.96078431372547,271.2450980392157,169.2941176470588,99.46078431372548,286.5882352941176
20,148.46601941747574,768.4077669902913,248.4368932038835,499.3883495145631,174.90291262135923,468.92233009708735,278.29126213592235,172.05825242718447,98.01941747572816,288.71844660194176
21,144.8190476190476,819.7333333333333,228.73333333333332,483.0571428571429,176.93333333333334,482.1047619047619,276.3142857142857,171.6952380952381,101.87619047619047,298.6095238095238
22,141.33333333333334,837.2190476190476,232.1809523809524,482.73333333333335,174.44761904761904,471.93333333333334,281.0285714285714,167.64761904761906,100.70476190476191,297.76190476190476
23,134.26666666666668,803.9238095238095,214.6095238095238,487.2857142857143,172.58095238095237,477.8,295.1142857142857,173.9142857142857,102.74285714285715,320.74285714285713
24,133.9626168224299,741.9345794392524,229.54205607476635,480.9065420560748,170.53271028037383,470.68224299065423,283.4672897196262,179.99065420560748,102.2803738317757,326.30841121495325
25,141.89719626168224,729.0093457943925,215.69158878504672,440.70093457943926,171.73831775700936,460.05607476635515,267.85046728971963,176.52336448598132,105.5233644859813,336.9065420560748
26,143.42990654205607,786.6542056074767,214.39252336448598,444.01869158878503,171.74766355140187,470.0934579439252,264.4672897196262,173.10280373831776,105.11214953271028,338.5420560747664
27,136.71559633027522,776.3119266055046,220.70642201834863,441.4036697247706,173.87155963302752,460.2201834862385,261.1467889908257,171.55045871559633,104.93577981651376,344.302752293578
28,130.8256880733945,724.605504587156,214.52293577981652,462.86238532110093,176.73394495412845,438.9357798165138,257.43119266055044,180.88073394495413,103.3302752293578,341.0642201834862
29,133.89908256880733,693.954128440367,209.05504587155963,448.348623853211,172.5137614678899,444.39449541284404,269.11009174311926,174.954128440367,107.55045871559633,343.07339449541286
