Distance_(microns),svbint,krint,svb,mlptint,eve-en,cad,kr,mlpt,gt
0,205.1666667,160.1666667,241,168.8333333,228.0833333,176.5,122.1666667,164.3333333,201.5
1,134.0769231,93.5,152.5384615,114.6153846,158.7692308,110.2692308,83.26923077,114.2692308,121.4615385
2,163.62,99.52,222.08,162.26,229.92,151.98,100.16,180.1,177.94
3,177.2027027,105.3648649,259.2432432,195.6216216,247.0810811,182.6621622,119.2027027,259.7027027,197.9459459
4,187.1237113,111.6597938,266.742268,187.6804124,238.0103093,186.6391753,131.9278351,297.7731959,214.4536082
5,227.8225806,138.2150538,294.1774194,212.6236559,306.3602151,213.5215054,146.3225806,276.6397849,255.2849462
6,230.6096257,134.1818182,290.6363636,217.1925134,306.5508021,213.6898396,150.4438503,270.4438503,250.3368984
7,226.4216216,128.4972973,291.0540541,218.3081081,305.0540541,213.9189189,153.6378378,266.6648649,246.1783784
8,232.8791209,130.6428571,297.9340659,215.6153846,313.0879121,216.2417582,156.8791209,259.543956,243.989011
9,236.1758242,130.9230769,299.2582418,208.7912088,318.3956044,217.989011,157.0879121,258.7967033,242.5989011
10,242.3351648,129.3571429,301.467033,207.2197802,317.6538462,219.1318681,159.1483516,261.8406593,248.7912088
11,244.4751381,131.0773481,298.2154696,204.7458564,321.6243094,222.3149171,159.4917127,256.2430939,253.1491713
12,249.1452514,128.3743017,294.1564246,205.6871508,326.8268156,231.1061453,157.5586592,249.7653631,260.5698324
13,264.4157303,128.8370787,292.5280899,211.5224719,334.2921348,244.0786517,159.9438202,240.9269663,266.3258427
14,261.4382022,128.4550562,292.5337079,209.994382,340.2808989,250.9719101,161.1404494,242.7640449,264.4269663
15,262.9886364,128.4318182,291.9715909,200.8352273,347.0056818,249.9602273,160.3977273,248.4431818,258.2954545
16,272.0628571,129.44,289.7085714,191.68,352.3028571,240.32,162.2685714,247.1828571,248.3771429
17,288.7988506,130.8333333,282.7816092,185.454023,348.4885057,230.2758621,163.0977011,246.8563218,252.8045977
18,287.6184971,134.5028902,283.6589595,181.5028902,344.0751445,229.3121387,162.8323699,247.5722543,254.5086705
19,275.4302326,136.4651163,292.0465116,175.4883721,345.1511628,228.127907,163.8953488,243.2732558,252.4418605
20,272.3450292,142.2690058,299.9707602,171.3684211,354.4093567,225.1111111,165.2222222,234.2923977,257.005848
21,260.2,152.0647059,302.3058824,171.1470588,360.9529412,223.8470588,167.7,227.2588235,259.5
22,247.1352941,146.2176471,294.6529412,168.7411765,351.1352941,217.7411765,170.7352941,218.7470588,260.1941176
23,240.6390533,146.1360947,283.0473373,164.9467456,337.2071006,209.1656805,168.6153846,207.443787,263.3136095
24,238.9230769,148.9053254,272.4142012,162.3313609,333.9822485,202.147929,164.1538462,195.7337278,260.7810651
25,236.6101695,143.8700565,265.5480226,160.6440678,330.8587571,195.7570621,161.2429379,184.2711864,255.5028249
26,234.9945946,134.6864865,267.1513514,162.9891892,310.3081081,191.1405405,160.4054054,173.827027,252.3675676
27,234.0216216,127.0648649,271.1783784,164.1189189,295.5567568,187.9513514,161.2756757,169.2702703,257.0324324
