gene	assembly	accession	genomic_start1	genomic_end1	strand	modeled_span_bp	Ns_in_span	reference_span_sha256	source_genbank_sha256	reference_url
Kr	Tcas5.2	NC_007425.3	6495452	6502496	1	7045	984	da2ad57a1123a771e0a87d083a71751e4a6508df29a833e55a455f2da025b499	1d57a9112cec8b41932743b54c0d0aa4edfdc21faf47146630580c138122efea	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_007425.3&seq_start=6494452&seq_stop=6503496&retmode=text&rettype=gbwithparts
mlpt	Tcas5.2	NC_007424.3	15958600	15959870	-1	1271	0	358f4eb9fd0bc23cd273ea5d6bea9a82bb9769ebff2f85f82c4f35469713024b	ded882b01b00efbc294ccd036894e5f3bf02907f888a125130c449b26698d4e6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_007424.3&seq_start=15957600&seq_stop=15960870&retmode=text&rettype=gbwithparts
svb	Tcas5.2	NC_007419.2	5009353	5018302	1	8950	0	0af2b81e06e7701020284c149e6936f617bed5c3607eb3a726a811477c2e0ebd	f4afcff8c46e2e2943b5031f18358d3595283da2092fa038bb40e1bedd247263	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NC_007419.2&seq_start=5008423&seq_stop=5019027&retmode=text&rettype=gbwithparts
